Parameter,Function,Test Case,cyclomatic_complexity
"(int num, int base)","public class GetSum {
public static int getSum(int num, int base) {
        float ret = (float) num / base;
        int count = num / base;
        if (ret > count) {
            return count + 1;
        }
        return 0;
    }
}","@Test
    public void testUrl() {
        long time = 1499670801000l;
        SimpleDateFormat format = new SimpleDateFormat(""yyyyMMDD HH:mm:ss"", Locale.getDefault());
        format.setTimeZone(TimeZone.getTimeZone(""GMT+8:00""));
        System.out.println(format.format(new Date(time)));
        format.setTimeZone(TimeZone.getTimeZone(""GMT+0:00""));
        System.out.println(format.format(new Date(time)));

        System.out.println(MiscUtils.getSum(100, 200));
        System.out.println(MiscUtils.getSum(199, 200));
        System.out.println(MiscUtils.getSum(200, 200));
        System.out.println(MiscUtils.getSum(201, 200));
    }",2
"(int v1, int v2)","public class Compare {
public static int compare(int v1, int v2) {
        return v1 < v2 ? -1 : (v1 > v2 ? 1 : 0);
    }
}","@Test
    public void compare() {
        assertEquals(-1, ObjectHelper.compare(0, 2));
        assertEquals(0, ObjectHelper.compare(0, 0));
        assertEquals(1, ObjectHelper.compare(2, 0));
    }",1
"(long a, long b)","public class AddCap {
public static long addCap(long a, long b) {
        long u = a + b;
        if (u < 0L) {
            return Long.MAX_VALUE;
        }
        return u;
    }
}","@Test
    public void testAddCap() {
        assertEquals(2L, BackpressureHelper.addCap(1, 1));
        assertEquals(Long.MAX_VALUE, BackpressureHelper.addCap(1, Long.MAX_VALUE - 1));
        assertEquals(Long.MAX_VALUE, BackpressureHelper.addCap(1, Long.MAX_VALUE));
        assertEquals(Long.MAX_VALUE, BackpressureHelper.addCap(Long.MAX_VALUE - 1, Long.MAX_VALUE - 1));
        assertEquals(Long.MAX_VALUE, BackpressureHelper.addCap(Long.MAX_VALUE, Long.MAX_VALUE));
    }",2
"(long a, long b)","public class MultiplyCap {
public static long multiplyCap(long a, long b) {
        long u = a * b;
        if (((a | b) >>> 31) != 0) {
            if (u / a != b) {
                return Long.MAX_VALUE;
            }
        }
        return u;
    }
}","@Test
    public void testMultiplyCap() {
        assertEquals(6, BackpressureHelper.multiplyCap(2, 3));
        assertEquals(Long.MAX_VALUE, BackpressureHelper.multiplyCap(2, Long.MAX_VALUE));
        assertEquals(Long.MAX_VALUE, BackpressureHelper.multiplyCap(Long.MAX_VALUE, Long.MAX_VALUE));
        assertEquals(Long.MAX_VALUE, BackpressureHelper.multiplyCap(1L << 32, 1L << 32));

    }",3
"(long a, long b)","public class MultiplyCap {
public static long multiplyCap(long a, long b) {
        long u = a * b;
        if (((a | b) >>> 31) != 0) {
            if (u / a != b) {
                return Long.MAX_VALUE;
            }
        }
        return u;
    }
}","@Test
    public void multiplyCap() {
        assertEquals(Long.MAX_VALUE, BackpressureHelper.multiplyCap(3, Long.MAX_VALUE >> 1));

        assertEquals(Long.MAX_VALUE, BackpressureHelper.multiplyCap(1, Long.MAX_VALUE));
    }",3
"(int x, int inMin, int inMax, int outMin, int outMax)","public class Map {
public int map(int x, int inMin, int inMax, int outMin, int outMax) {
    return (x - inMin) * (outMax - outMin) / (inMax - inMin) + outMin;
  }
}","@Test
  public void map() throws Exception {
    PCA9685Servo device = new PCA9685Servo((byte)0x40, peripheralManagerServiceMock);

    assertEquals(20,device.map(0,10,20,30,40));
    assertEquals(21,device.map(1,10,20,30,40));
    assertEquals(22,device.map(2,10,20,30,40));
    assertEquals(23,device.map(3,10,20,30,40));
    assertEquals(24,device.map(4,10,20,30,40));
    assertEquals(25,device.map(5,10,20,30,40));
    assertEquals(26,device.map(6,10,20,30,40));
    assertEquals(27,device.map(7,10,20,30,40));
    assertEquals(28,device.map(8,10,20,30,40));
    assertEquals(29,device.map(9,10,20,30,40));


  }",1
(char ch),"public class FromHexChar {
public static int fromHexChar(char ch) {
        if ('0' <= ch && ch <= '9') return ch - '0';
        if ('A' <= ch && ch <= 'F') return ch - 'A' + 10;
        return -1;
    }
}","@Test
    public void testFromHexChar() {
        assertEquals(0, fromHexChar('0'));
        assertEquals(5, fromHexChar('5'));
        assertEquals(9, fromHexChar('9'));
        assertEquals(0xA, fromHexChar('A'));
        assertEquals(0xD, fromHexChar('D'));
        assertEquals(0xF, fromHexChar('F'));
        assertEquals(-1, fromHexChar('_'));
    }",5
"(int a, int b)","public class Sum {
public static int sum(int a, int b) {
        return a * b;
    }
}","@Test 
    public void testSum() {
        assertEquals(11, Arithmetic.sum(5, 6));
        assertEquals(-1, Arithmetic.sum(5, -6));
        assertEquals(-6, Arithmetic.sum(0, -6));
        assertEquals(0, Arithmetic.sum(6, -6));
    }",1
"(int a, int b)","public class Product {
public static int product(int a, int b) {
        return a * b;
    }
}","@Test 
    public void testProduct() {
        /* assertEquals for comparison of ints takes two arguments:
        assertEquals(expected, actual).
        
        If the two arguments are not equal, then the assertion will be false, 
        and this test will fail.
        */

        assertEquals(30, Arithmetic.product(5, 6));
        assertEquals(-30, Arithmetic.product(5, -6));
        assertEquals(0, Arithmetic.product(0, -6));
    }",1
(long id),"public class ExtractShardId {
public static byte extractShardId(long id) {
    return (byte) ((id >>> 56) & 0x7fL);
  }
}","@Test
  public void testExtractShardId() {
    long id = IdentityGenerator.doGenerate(SHARD_ID, TIME_DIFF, 10);
    byte shardId = IdentityGenerator.extractShardId(id);
    assertEquals(SHARD_ID, shardId);
  }",1
"(byte shardId, long time, int serial)","public class DoGenerate {
static long doGenerate(byte shardId, long time, int serial) {
    return (shardId & 0x7fL) << 56 | (time & 0xffffffffffL) << 16 | (serial & 0xffff);
  }
}","@Test
  public void testDoGenerate_withShardId() {
    long id = IdentityGenerator.doGenerate((byte) 1, 0L, 0);
    assertEquals((long) 1L << 56, id);
  }",1
"(byte shardId, long time, int serial)","public class DoGenerate {
static long doGenerate(byte shardId, long time, int serial) {
    return (shardId & 0x7fL) << 56 | (time & 0xffffffffffL) << 16 | (serial & 0xffff);
  }
}","@Test
  public void testDoGenerate_withTime() {
    long id = IdentityGenerator.doGenerate((byte) 0, 1L, 0);
    assertEquals((long) 1L << 16, id);
  }",1
"(byte shardId, long time, int serial)","public class DoGenerate {
static long doGenerate(byte shardId, long time, int serial) {
    return (shardId & 0x7fL) << 56 | (time & 0xffffffffffL) << 16 | (serial & 0xffff);
  }
}","@Test
  public void testDoGenerate_withSerial() {
    long id = IdentityGenerator.doGenerate((byte) 0, 0L, 1);
    assertEquals(1L, id);
  }",1
(int port),"public class IsValidPort {
public static boolean isValidPort(int port) {
    if (port >= 1 && port <= 65535) {
      return true;
    }
    return false;
  }
}","@Test
  public void testZeroPort() {
    Assert.assertFalse(Utils.isValidPort(0));
  }",3
(int port),"public class IsValidPort {
public static boolean isValidPort(int port) {
    if (port >= 1 && port <= 65535) {
      return true;
    }
    return false;
  }
}","@Test
  public void testNegativePort() {
    Assert.assertFalse(Utils.isValidPort(-1));
    Assert.assertFalse(Utils.isValidPort(-10));
  }",3
(int port),"public class IsValidPort {
public static boolean isValidPort(int port) {
    if (port >= 1 && port <= 65535) {
      return true;
    }
    return false;
  }
}","@Test
  public void testOverflowPort() {
    Assert.assertFalse(Utils.isValidPort(70000));
    Assert.assertFalse(Utils.isValidPort(65536));
  }",3
(int port),"public class IsValidPort {
public static boolean isValidPort(int port) {
    if (port >= 1 && port <= 65535) {
      return true;
    }
    return false;
  }
}","@Test
  public void testValidPort() {
    Assert.assertTrue(Utils.isValidPort(1023));
    Assert.assertTrue(Utils.isValidPort(10000));
    Assert.assertTrue(Utils.isValidPort(3030));
    Assert.assertTrue(Utils.isValidPort(1045));
  }",3
"(int a, int b)","public class Max {
public static int max(int a, int b) {
    return (a>=b)?a:b;
  }
}","@Test void testMax() {
    assertEq(4,max(1,3,4,2));
    assertEq(4L,max(1L,3L,4L,2L));
    assertEq(4.0f,max(1.0f,3.0f,4.0f,2.0f));
    assertEq(4.0d,max(1.0d,3.0d,4.0d,2.0d));

    assertEq(4,max(1,3,4));
    assertEq(4L,max(1L,3L,4L));
    assertEq(4.0f,max(1.0f,3.0f,4.0f));
    assertEq(4.0d,max(1.0d,3.0d,4.0d));
  }",1
(int x),"public class Abs {
public static int abs(int x) {
    return (x>=0)?x:-x;
  }
}","@Test
  public void testAbs() {
    assertEq(2,abs(2));
    assertEq(2L,abs(2L));
    assertEq(2.0f,abs(2.0f));
    assertEq(2.0d,abs(2.0d));

    assertEq(2,abs(-2));
    assertEq(2L,abs(-2L));
    assertEq(2.0f,abs(-2.0f));
    assertEq(2.0d,abs(-2.0d));

    assertEquals(0, Float.floatToIntBits(abs(0.0f)));
    assertEquals(0, Double.doubleToLongBits(abs(0.0d)));

    assertEqual(    rampfloat(0, 4,5),
                abs(rampfloat(0,-4,5)));
    assertEqual(    rampfloat(0, 4, 4,5,5),
                abs(rampfloat(0,-4,-4,5,5)));
    assertEqual(    rampfloat(0, 4, 4, 4,5,5,5),
                abs(rampfloat(0,-4,-4,-4,5,5,5)));

    assertEqual(    rampdouble(0, 4,5),
                abs(rampdouble(0,-4,5)));
    assertEqual(    rampdouble(0, 4, 4,5,5),
                abs(rampdouble(0,-4,-4,5,5)));
    assertEqual(    rampdouble(0, 4, 4, 4,5,5,5),
                abs(rampdouble(0,-4,-4,-4,5,5,5)));

    Cfloat  f0 = new Cfloat( 0);  Cfloat  f4 = new Cfloat(-4);
    Cdouble d0 = new Cdouble( 0); Cdouble d4 = new Cdouble(-4);

    float[]     f1 = zerofloat(5);
    float[][]   f2 = zerofloat(5,5);
    float[][][] f3 = zerofloat(5,5,5);

    double[]     d1 = zerodouble(5);
    double[][]   d2 = zerodouble(5,5);
    double[][][] d3 = zerodouble(5,5,5);

    float[]     cf1 = crampfloat(f0,f4,5);
    float[][]   cf2 = crampfloat(f0,f4,f4,5,5);
    float[][][] cf3 = crampfloat(f0,f4,f4,f4,5,5,5);

    double[]     cd1 = crampdouble(d0,d4,5);
    double[][]   cd2 = crampdouble(d0,d4,d4,5,5);
    double[][][] cd3 = crampdouble(d0,d4,d4,d4,5,5,5);

    cabs(cf1,f1); cabs(cf2,f2); cabs(cf3,f3);
    cabs(cd1,d1); cabs(cd2,d2); cabs(cd3,d3);

    assertEqual(rampfloat(0,4,5),        f1);
    assertEqual(rampfloat(0,4,4,5,5),    f2);
    assertEqual(rampfloat(0,4,4,4,5,5,5),f3);

    assertEqual(f1,cabs(cf1));
    assertEqual(f2,cabs(cf2));
    assertEqual(f3,cabs(cf3));

    assertEqual(rampdouble(0,4,5),        d1);
    assertEqual(rampdouble(0,4,4,5,5),    d2);
    assertEqual(rampdouble(0,4,4,4,5,5,5),d3);

    assertEqual(d1,cabs(cd1));
    assertEqual(d2,cabs(cd2));
    assertEqual(d3,cabs(cd3));

  }",1
"(double x, double y)","public class Hypot {
public static double hypot(double x, double y) {
    return Math.hypot(x,y);
  }
}","@Test
  public void testHypotenuse() {
    assertEq(5.0, hypot(3.0, 4.0));
    assertEq(5.0f, hypot(3.0f, 4.0f));
  }",1
(double x),"public class Expm1 {
public static double expm1(double x) {
    return Math.expm1(x);
  }
}","@Test
  public void testExponentialMinusOne() {
    assertEq(22025.46579480, expm1(10.0));
    assertEq(22025.46579480f, expm1(10.0f));
  }",1
"(double f1, double f2)","public class IEEEremainder {
public static double IEEEremainder(double f1, double f2) {
    return Math.IEEEremainder(f1,f2);
  }
}","@Test
  public void testIEEERemainder() {
    assertEq(-1.0d, IEEEremainder(3.0d,2.0d));
    assertEq(-1.0f, IEEEremainder(3.0f,2.0f));
  }",1
(double a),"public class Cbrt {
public static double cbrt(double a) {
    return Math.cbrt(a);
  }
}","@Test
  public void testCubicRoot() {
    assertEq(2.0, cbrt(8.0));
    assertEq(2.0f, cbrt(8.0f));
  }",1
(double x),"public class Log1p {
public static double log1p(double x) {
    return Math.log1p(x);
  }
}","@Test
  public void testLnPlusOne() {
    assertEq(2.39789527279837 , log1p(10.0 ));
    assertEq(2.39789527279837f, log1p(10.0f));
  }",1
"(int a, int b)","public class Min {
public static int min(int a, int b) {
    return (a<=b)?a:b;
  }
}","@Test
  public void testMin() {
    assertEq(1,min(3,1,4,2));
    assertEq(1L,min(3L,1L,4L,2L));
    assertEq(1.0f,min(3.0f,1.0f,4.0f,2.0f));
    assertEq(1.0d,min(3.0d,1.0d,4.0d,2.0d));

    assertEq(1,min(3,1,4));
    assertEq(1L,min(3L,1L,4L));
    assertEq(1.0f,min(3.0f,1.0f,4.0f));
    assertEq(1.0d,min(3.0d,1.0d,4.0d));
  }",1
(double d),"public class Ulp {
public static double ulp(double d) {
    return Math.ulp(d);
  }
}","@Test
  public void testUlp() {
    assertEq(FLT_EPSILON, ulp(1.2345f));
    assertEq(DBL_EPSILON, ulp(1.2345));
  }",1
(int number),"public class SignificantBitCount {
public static int significantBitCount(int number) {
        int result = 0;
        while (number > 0) {
            result++;
            number >>= 1;
        }
        return result;
    }
}","@Test
    public void significantBitCount() {
        Assert.assertEquals(0, Utils.significantBitCount(0b0));
        Assert.assertEquals(1, Utils.significantBitCount(0b1));
        Assert.assertEquals(2, Utils.significantBitCount(0b10));
        Assert.assertEquals(2, Utils.significantBitCount(0b11));
        Assert.assertEquals(3, Utils.significantBitCount(0b111));
        Assert.assertEquals(3, Utils.significantBitCount(0b100));
        Assert.assertEquals(3, Utils.significantBitCount(0b101));
        Assert.assertEquals(13, Utils.significantBitCount(0b1000111000101));
        Assert.assertEquals(9, Utils.significantBitCount(0b000111000101));
    }",2
(long nanoseconds),"public class FormatNanosecondsToSeconds {
public static String formatNanosecondsToSeconds(long nanoseconds) {
        return String.format(""%.6f"", nanoseconds / 1_000_000_000.0);
    }
}","@Test
    public void formatNanosecondsToSeconds() {
        Assert.assertEquals(""1.234568"", FormatUtils.formatNanosecondsToSeconds(1_234_567_890L));
        Assert.assertEquals(""1234.567890"", FormatUtils.formatNanosecondsToSeconds(1_234_567_890_123L));
        Assert.assertEquals(""1234567.890123"", FormatUtils.formatNanosecondsToSeconds(1_234_567_890_123_000L));
        Assert.assertEquals(""0.000000"", FormatUtils.formatNanosecondsToSeconds(0L));
        Assert.assertEquals(""0.000001"", FormatUtils.formatNanosecondsToSeconds(1_234L));
    }",1
"(int x[], int c[])","public class NextLexicographicElement {
public static boolean nextLexicographicElement(int x[], int c[]) {
		assert(x.length == c.length);
		final int l = x.length;
		if (l < 1) {
			return false;
		}
		
		// iterate over the elements starting at the end, until we find an element that can be incremented.
		for (int i = l - 1; i >= 0; --i) {
			++x[i];
			if (x[i] == c[i]) {
				x[i] = 0;
			} else {
				return true; // greater permutation found
			}
		}
		return false; // no greater permutation found (and array reset to {0, ...})
	}
}","@Test
	public void testNextLexicographicElement() {
		int c[] = new int[] {1, 2, 3, 1};
		int x[] = new int[] {0, 0, 0, 0};
		
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 0, 1, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 0, 2, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 1, 0, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 1, 1, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 1, 2, 0}, x);
		assertFalse(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 0, 0, 0}, x);
		
		assertFalse(CollectionUtil.nextLexicographicElement(new int[] { 0 }, new int[] { 1 }));
		assertTrue(CollectionUtil.nextLexicographicElement(new int[] { 0 }, new int[] { 2 }));
	}",4
