Parameter,Function,Test Case,cyclomatic_complexity
(long value),"public class Humanize {
public static String humanize(long value) {
        if (value < 0) {
            return '-' + humanize(-value);
        } else if (value > 1000000000000000000L) {
            return Double.toString(
                    (value + 500000000000000L) / 1000000000000000L * 1000000000000000L / 1000000000000000000.0) + 'E';
        } else if (value > 100000000000000000L) {
            return Double.toString(
                    (value + 50000000000000L) / 100000000000000L * 100000000000000L / 1000000000000000.0) + 'P';
        } else if (value > 10000000000000000L) {
            return Double
                    .toString((value + 5000000000000L) / 10000000000000L * 10000000000000L / 1000000000000000.0) + 'P';
        } else if (value > 1000000000000000L) {
            return Double
                    .toString((value + 500000000000L) / 1000000000000L * 1000000000000L / 1000000000000000.0) + 'P';
        } else if (value > 100000000000000L) {
            return Double.toString((value + 50000000000L) / 100000000000L * 100000000000L / 1000000000000.0) + 'T';
        } else if (value > 10000000000000L) {
            return Double.toString((value + 5000000000L) / 10000000000L * 10000000000L / 1000000000000.0) + 'T';
        } else if (value > 1000000000000L) {
            return Double.toString((value + 500000000) / 1000000000 * 1000000000 / 1000000000000.0) + 'T';
        } else if (value > 100000000000L) {
            return Double.toString((value + 50000000) / 100000000 * 100000000 / 1000000000.0) + 'G';
        } else if (value > 10000000000L) {
            return Double.toString((value + 5000000) / 10000000 * 10000000 / 1000000000.0) + 'G';
        } else if (value > 1000000000) {
            return Double.toString((value + 500000) / 1000000 * 1000000 / 1000000000.0) + 'G';
        } else if (value > 100000000) {
            return Double.toString((value + 50000) / 100000 * 100000 / 1000000.0) + 'M';
        } else if (value > 10000000) {
            return Double.toString((value + 5000) / 10000 * 10000 / 1000000.0) + 'M';
        } else if (value > 1000000) {
            return Double.toString((value + 500) / 1000 * 1000 / 1000000.0) + 'M';
        } else if (value > 100000) {
            return Double.toString((value + 50) / 100 * 100 / 1000.0) + 'K';
        } else if (value > 10000) {
            return Double.toString((value + 5) / 10 * 10 / 1000.0) + 'K';
        } else if (value > 1000) {
            return Double.toString(value / 1000.0) + 'K';
        } else {
            return Long.toString(value) + ' ';
        }
    }
}","@Test
    public void testHumanize() {
        assertEquals(humanize(0), ""0 "");
        assertEquals(humanize(1), ""1 "");
        assertEquals(humanize(12), ""12 "");
        assertEquals(humanize(123), ""123 "");
        assertEquals(humanize(1234), ""1.234K"");
        assertEquals(humanize(1200), ""1.2K"");
        assertEquals(humanize(12345), ""12.35K"");
        assertEquals(humanize(123456), ""123.5K"");
        assertEquals(humanize(1234567), ""1.235M"");
        assertEquals(humanize(12345678), ""12.35M"");
        assertEquals(humanize(123456789), ""123.5M"");
        assertEquals(humanize(1234567890), ""1.235G"");
        assertEquals(humanize(12345678901L), ""12.35G"");
        assertEquals(humanize(123456789012L), ""123.5G"");
        assertEquals(humanize(1234567890123L), ""1.235T"");
        assertEquals(humanize(12345678901234L), ""12.35T"");
        assertEquals(humanize(123456789012345L), ""123.5T"");
        assertEquals(humanize(1234567890123456L), ""1.235P"");
        assertEquals(humanize(12345678901234567L), ""12.35P"");
        assertEquals(humanize(123456789012345678L), ""123.5P"");
        assertEquals(humanize(1234567890123456789L), ""1.235E"");
    }",18
(long timeDiff),"public class FormatTimeSortable {
public static String formatTimeSortable(long timeDiff) {
    StringBuilder buf = new StringBuilder();
    long hours = timeDiff / (60 * 60 * 1000);
    long rem = (timeDiff % (60 * 60 * 1000));
    long minutes = rem / (60 * 1000);
    rem = rem % (60 * 1000);
    long seconds = rem / 1000;

    // if hours is more than 99 hours, it will be set a max value format
    if (hours > 99) {
      hours = 99;
      minutes = 59;
      seconds = 59;
    }

    buf.append(String.format(""%02d"", hours));
    buf.append(""hrs, "");

    buf.append(String.format(""%02d"", minutes));
    buf.append(""mins, "");

    buf.append(String.format(""%02d"", seconds));
    buf.append(""sec"");
    return buf.toString();
  }
}","@Test
  public void testFormatTimeSortable() {
    long timeDiff = 523452311;
    String timeDiffStr = ""99hrs, 59mins, 59sec"";

    assertEquals(""Incorrect time diff string returned"", timeDiffStr,
        StringUtils.formatTimeSortable(timeDiff));
  }",2
(long value),"public class CastToIntSafely {
protected static int castToIntSafely(long value) {
    if (value > Integer.MAX_VALUE) {
      return Integer.MAX_VALUE;
    }
    return Long.valueOf(value).intValue();
  }
}","@Test
  public void testCastToIntSafely() {
    assertEquals(0, Resource.castToIntSafely(0));
    assertEquals(1, Resource.castToIntSafely(1));
    assertEquals(Integer.MAX_VALUE,
        Resource.castToIntSafely(Integer.MAX_VALUE));

    assertEquals(""Cast to Integer.MAX_VALUE if the long is greater than ""
            + ""Integer.MAX_VALUE"", Integer.MAX_VALUE,
        Resource.castToIntSafely(Integer.MAX_VALUE + 1L));
    assertEquals(""Cast to Integer.MAX_VALUE if the long is greater than ""
            + ""Integer.MAX_VALUE"", Integer.MAX_VALUE,
        Resource.castToIntSafely(Long.MAX_VALUE));
  }",2
"(int number, int digitIndex)","public class GetDigitFromNumber {
public static int getDigitFromNumber(int number, int digitIndex) {
        // TODO error check and efficiency (maybe put powers of 10 to array)
        return number / (int)Math.pow(10, digitIndex) % 10;
    }
}","@Test
    public void testGetDigitFromNumber() {
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 0), 5);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 1), 4);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 2), 4);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 3), 3);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 4), 3);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 5), 2);
        Assert.assertEquals(MathUtils.getDigitFromNumber(2233445, 6), 2);
    }",1
(char charCode),"public class IsWhitespace {
public static boolean isWhitespace(char charCode) {
    return Character.isWhitespace(charCode)  || 
    Character.getType(charCode) == Character.SPACE_SEPARATOR;
  }
}","@Test
  public void testNoBreakSpace() {
    assertTrue(StringUtil.isWhitespace(0x00A0));
    assertTrue(StringUtil.isWhitespace(0x2007));
    assertTrue(StringUtil.isWhitespace(0x202F));
    
    assertTrue(StringUtil.isWhitespace((char) 0x00A0));
    assertTrue(StringUtil.isWhitespace((char) 0x2007));
    assertTrue(StringUtil.isWhitespace((char) 0x202F));
  }",2
"(long startTime, long currentTime)","public class RenderTimeString {
static String renderTimeString(long startTime, long currentTime) {
		long elapsed = currentTime - startTime;
		StringBuilder sb = new StringBuilder(Long.toString(elapsed/1000)).append('.');
		long ms = elapsed % 1000;
		if (ms < 100) {
			sb.append('0');
		}
		if (ms < 10) {
			sb.append('0');
		}
		sb.append(ms).append('s');
		return sb.toString();
	}
}","@Test
	public void testRenderTimeString() {
		assertEquals(""0.001s"", ProcessState.renderTimeString(0, 1));
		assertEquals(""0.010s"", ProcessState.renderTimeString(0, 10));
		assertEquals(""0.100s"", ProcessState.renderTimeString(0, 100));
		assertEquals(""1.000s"", ProcessState.renderTimeString(0, 1000));
		assertEquals(""1.001s"", ProcessState.renderTimeString(0, 1001));
		assertEquals(""1.010s"", ProcessState.renderTimeString(0, 1010));
	}",3
(int c),"public class Encode {
static public byte[] encode(int c) {
    if (c < 0x80)
      return new byte[] { (byte)c };
    byte[] buf;
    if (c < 0x800) {
      buf = new byte[2];
      buf[0] = (byte)((c >> 6) | (0x80 | 0x40));
    }
    else if (c < 0x10000) {
      buf = new byte[3];
      buf[0] = (byte)((c >> (2 * 6)) | (0x80 | 0x40 | 0x20));
    }
    else {
      buf = new byte[4];
      buf[0] = (byte)((c >> (3 * 6)) | (0x80 | 0x40 | 0x20 | 0x10));
    }
    for (int i = buf.length - 1; i > 0; i--) {
      buf[i] = (byte)((c & 0x3F) | 0x80);
      c >>= 6;
    }
    return buf;
  }
}","@Test
  public void testEncode() throws UnsupportedEncodingException {
    for (int i = 0; i < 0x10FFFF; i++) {
      if (Utf16.isSurrogate(i))
        continue;
      char[] chars;
      if (i <= 0xFFFF)
        chars = new char[] { (char)i };
      else
      chars = new char[] { Utf16.surrogate1(i), Utf16.surrogate2(i) };
      Assert.assertEquals(Utf8.encode(i), new String(chars).getBytes(""UTF-8""));
    }
  }",5
"(int number, int base)","public class ConvertBase {
public static String convertBase(int number, int base) {
    // special case
    if (number == 0)
      return ""0"";

    if (base > 62)
      throw new IllegalArgumentException(""base must be 62 or less: base="" + base);
    if (base <= 0)
      throw new IllegalArgumentException(""base must be greater than zero: base="" + base);

    StringBuffer conversion = new StringBuffer();

    if (base == 1) {
      for (int i = 0; i < number; i++)
        conversion.append(""1"");
      return conversion.toString();
    }

    String digits = ""0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz"";
    while (number > 0) {
      int digitIndex = number % base;
      conversion.insert(0, digits.charAt(digitIndex));
      number = number / base;
    }
    return conversion.toString();
  }
}","@Test
  public void testConvertBase() {
    assertEquals(""0"", BaseConversion.convertBase(0, 1));
    assertEquals(""11111"", BaseConversion.convertBase(5, 1));
    assertEquals(""101"", BaseConversion.convertBase(5, 2));
    assertEquals(""12"", BaseConversion.convertBase(5, 3));
    assertEquals(""11"", BaseConversion.convertBase(5, 4));
    assertEquals(""10"", BaseConversion.convertBase(5, 5));
    assertEquals(""5"", BaseConversion.convertBase(5, 6));

    assertEquals(""1111111111111111"", BaseConversion.convertBase(16, 1));
    assertEquals(""10000"", BaseConversion.convertBase(16, 2));
    assertEquals(""121"", BaseConversion.convertBase(16, 3));
    assertEquals(""100"", BaseConversion.convertBase(16, 4));
    assertEquals(""31"", BaseConversion.convertBase(16, 5));
    assertEquals(""24"", BaseConversion.convertBase(16, 6));
    assertEquals(""22"", BaseConversion.convertBase(16, 7));
    assertEquals(""20"", BaseConversion.convertBase(16, 8));
    assertEquals(""17"", BaseConversion.convertBase(16, 9));
    assertEquals(""16"", BaseConversion.convertBase(16, 10));
    assertEquals(""15"", BaseConversion.convertBase(16, 11));
    assertEquals(""14"", BaseConversion.convertBase(16, 12));
    assertEquals(""13"", BaseConversion.convertBase(16, 13));
    assertEquals(""12"", BaseConversion.convertBase(16, 14));
    assertEquals(""11"", BaseConversion.convertBase(16, 15));
    assertEquals(""10"", BaseConversion.convertBase(16, 16));
    assertEquals(""G"", BaseConversion.convertBase(16, 17));

    assertEquals(""4000"", BaseConversion.convertBase(953312, 62));
    assertEquals(""C00"", BaseConversion.convertBase(46128, 62));
    assertEquals(""90"", BaseConversion.convertBase(558, 62));
    assertEquals(""2"", BaseConversion.convertBase(2, 62));
    assertEquals(""4C92"", BaseConversion.convertBase(1000000, 62));

  }",7
(int n),"public class IsNotPrime {
public static boolean isNotPrime(int n) {
    if (n < 2 || (n & 0x1) == 0) { // < 2 or even
      return n != 2;
    }
    int max = 1 + (int) Math.sqrt(n);
    for (int d = 3; d <= max; d += 2) {
      if (n % d == 0) {
        return true;
      }
    }
    return false;
  }
}","@Test
  public void testIsNotPrime() {
    assertTrue(RandomUtils.isNotPrime(Integer.MIN_VALUE));
    assertTrue(RandomUtils.isNotPrime(-1));
    assertTrue(RandomUtils.isNotPrime(0));
    assertTrue(RandomUtils.isNotPrime(1));
    assertTrue(!RandomUtils.isNotPrime(2));
    assertTrue(!RandomUtils.isNotPrime(3));
    assertTrue(RandomUtils.isNotPrime(4));
    assertTrue(!RandomUtils.isNotPrime(5));
    assertTrue(RandomUtils.isNotPrime(Integer.MAX_VALUE - 1));   
    assertTrue(!RandomUtils.isNotPrime(Integer.MAX_VALUE)); // 2^31 - 1
  }",5
"(double min, double max)","public class CreateNumericalDescription {
public static String createNumericalDescription(double min, double max) {
    return min + "","" + max;
  }
}","@Test
  public void testCreateNumericalDescription() {
    String description = DescriptionUtils.createNumericalDescription(-5.1, 12.32);
    assertEquals(""-5.1,12.32"", description);
  }",1
"(double oldCount,
                                      double oldAverage,
                                      double newCount,
                                      double newTotalTime)","public class AddToAverage {
public static double addToAverage(double oldCount,
                                      double oldAverage,
                                      double newCount,
                                      double newTotalTime) {
        if (newCount==0) {
            return oldAverage;
        }
        double newAverage = newTotalTime / newCount;
        return
            ((oldCount) / (newCount + oldCount) * oldAverage) +
                (newCount / (newCount + oldCount) * newAverage);
    }
}","@Test
    void addToAverage() {
        double average = 1.0;
        double avergeCount = 1.0;

        double newAverage = MetricsUtil.addToAverage(avergeCount, average, 1.0, 1.0);
        assertEquals(1.0, newAverage, DELTA);

        newAverage = MetricsUtil.addToAverage(avergeCount, average, 20.0, 20.0);
        assertEquals(1.0, newAverage, DELTA);

        newAverage = MetricsUtil.addToAverage(avergeCount, average, 0, 0);
        assertEquals(1.0, newAverage, DELTA);
    }",2
"(double oldCount,
                                     double oldAverage,
                                     double newCount,
                                     double newAverage)","public class AddAverages {
public static double addAverages(double oldCount,
                                     double oldAverage,
                                     double newCount,
                                     double newAverage) {
        if (newCount==0) {
            return oldAverage;
        }
        return
            ((oldCount) / (newCount + oldCount) * oldAverage) +
                (newCount / (newCount + oldCount) * newAverage);
    }
}","@Test
    void addAverages() {
        double average = 1.0;
        double avergeCount = 1.0;

        double newAverage = MetricsUtil.addAverages(avergeCount, average, 5.0, 1.0);
        assertEquals(1.0, newAverage, DELTA);

        newAverage = MetricsUtil.addAverages(avergeCount, average, 20.0, 1.0);
        assertEquals(1.0, newAverage, DELTA);

        newAverage = MetricsUtil.addAverages(avergeCount, average, 0, 0);
        assertEquals(1.0, newAverage, DELTA);
    }",2
(long unsignedValue),"public class UnsignedLongToSignedLong {
public static long unsignedLongToSignedLong(long unsignedValue) {
        return unsignedValue & 0x7fff_ffff_ffff_ffffL;
    }
}","@Test
    public void testUnsignedLongToSignedLong() {
        assertEquals(1L, ParseUtil.unsignedLongToSignedLong(Long.MAX_VALUE + 2));
        assertEquals(123L, ParseUtil.unsignedLongToSignedLong(123));
        assertEquals(9223372036854775807L, ParseUtil.unsignedLongToSignedLong(9223372036854775807L));
    }",1
(int unsignedValue),"public class UnsignedIntToLong {
public static long unsignedIntToLong(int unsignedValue) {
        // use standard Java widening conversion to long which does
        // sign-extension,
        // then drop any copies of the sign bit, to prevent the value being
        // considered a negative one by Java if it is set
        long longValue = unsignedValue;
        return longValue & 0xffff_ffffL;
    }
}","@Test
    public void testUnsignedIntToLong() {
        assertEquals(0L, ParseUtil.unsignedIntToLong(0));
        assertEquals(123L, ParseUtil.unsignedIntToLong(123));
        assertEquals(4294967295L, ParseUtil.unsignedIntToLong(0xffffffff));
    }",1
